asset_name	archive_file	source_url	license	artist	deck
TarotSwords04	s04.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwords05	s05.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwords06	s06.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwords07	s07.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwords08	s08.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwords09	s09.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwords10	s10.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwordsPage	s11.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwordsKnight	s12.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwordsQueen	s13.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotSwordsKing	s14.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWandsAce	w01.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWands02	w02.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWands03	w03.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWands04	w04.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWands05	w05.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWands06	w06.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWands07	w07.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWands08	w08.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWands09	w09.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWands10	w10.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWandsPage	w11.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWandsKnight	w12.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWandsQueen	w13.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
TarotWandsKing	w14.jpg	https://github.com/metabismuth/tarot-json/releases/download/v0/cards.zip	Public domain	Pamela Colman Smith	Rider-Waite-Smith (1910)
